feedback_id,launch_id,cluster_id,source_channel,customer_segment,feedback_text,category,subcategory,severity,status,confidence_score,confidence_level,human_review_needed,likely_owner,recommended_route,created_at,ingested_at
FB-2001,1,1,Partner escalation,Workspace owners,"Pilot admins reported setup failures after the identity callback completes, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 3,Needs review,76,Medium,Review recommended,Product Ops,Intake -> Product Ops review before final routing,2026-05-05T14:41:39Z,2026-05-05T14:59:39Z
FB-2002,1,1,Admin interview,Enterprise admins,"Enterprise admins using SSO reported blocked sign-in checks before connector authorization, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 2,Routed,79,Medium,Review recommended,Identity Engineering,Support -> Identity Engineering,2026-05-11T22:44:26Z,2026-05-11T23:02:26Z
FB-2003,1,1,Internal triage,Enterprise admins using SSO,"Workspace owners are seeing setup failures after the identity callback completes, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 4,Routed,84,Medium,No,Identity Engineering,Support -> Identity Engineering,2026-05-13T05:33:06Z,2026-05-13T09:33:06Z
FB-2004,1,1,Partner escalation,Workspace owners,"Workspace owners flagged blocked sign-in checks before connector authorization, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 4,Routed,87,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-02T09:22:02Z,2026-05-02T09:27:02Z
FB-2005,1,1,Internal triage,Enterprise admins,"The admin flow stopped after sign-in, but the team could not tell whether the issue was SSO configuration or connector setup.",Authentication / SSO,Authentication setup,Sev 3,Routed,66,Low,Review recommended,Identity Engineering,Support -> Identity Engineering,2026-05-08T00:05:50Z,2026-05-08T06:05:50Z
FB-2006,1,1,Internal triage,Enterprise admins using SSO,"Enterprise admins using SSO keep encountering setup failures after the identity callback completes, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 3,New,69,Low,Review recommended,Identity Engineering,Intake -> Identity Engineering triage,2026-05-20T09:08:14Z,2026-05-20T09:13:14Z
FB-2007,1,1,Internal triage,Enterprise admins,"Enterprise admins using SSO reported unclear SSO error states in the launch workspace, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 2,Needs review,81,Medium,Review recommended,Identity Engineering,Triage -> Identity Engineering review,2026-05-01T18:46:42Z,2026-05-01T18:51:42Z
FB-2008,1,1,Admin interview,Enterprise admins,"Security reviewers keep encountering unclear SSO error states in the launch workspace, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 1,Routed,76,Medium,Review recommended,Identity Engineering,Support -> Identity Engineering,2026-05-20T17:05:13Z,2026-05-20T17:35:13Z
FB-2009,1,1,Internal triage,Workspace owners,"Pilot admins flagged tenant metadata errors during connector setup, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 3,New,83,Medium,No,Identity Engineering,Intake -> Identity Engineering triage,2026-05-20T16:37:06Z,2026-05-20T17:37:06Z
FB-2010,1,1,Admin interview,Workspace owners,"Pilot admins keep encountering setup failures after the identity callback completes, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 3,In progress,82,Medium,No,Identity Engineering,Support -> Identity Engineering active workstream,2026-05-11T23:49:13Z,2026-05-12T00:49:13Z
FB-2011,1,1,Admin interview,Enterprise admins,"The admin flow stopped after sign-in, but the team could not tell whether the issue was SSO configuration or connector setup.",Authentication / SSO,Authentication setup,Sev 2,Needs review,80,Medium,Review recommended,Identity Engineering,Triage -> Identity Engineering review,2026-05-08T00:37:40Z,2026-05-08T06:37:40Z
FB-2012,1,1,Partner escalation,Security reviewers,"The admin flow stopped after sign-in, but the team could not tell whether the issue was SSO configuration or connector setup.",Authentication / SSO,Authentication setup,Sev 3,In progress,71,Low,Review recommended,Identity Engineering,Support -> Identity Engineering active workstream,2026-04-30T15:41:17Z,2026-04-30T16:41:17Z
FB-2013,1,1,Partner escalation,Security reviewers,"Pilot admins keep encountering setup failures after the identity callback completes, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 2,Routed,86,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-10T21:41:03Z,2026-05-10T22:26:03Z
FB-2014,1,1,Support ticket,Security reviewers,"Pilot admins flagged blocked sign-in checks before connector authorization, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 3,In progress,93,High,No,Identity Engineering,Support -> Identity Engineering active workstream,2026-05-07T14:51:45Z,2026-05-07T14:56:45Z
FB-2015,1,1,Internal triage,Enterprise admins using SSO,"Workspace owners are seeing unclear SSO error states in the launch workspace, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 3,Resolved,98,High,No,Identity Engineering,Resolved by Identity Engineering,2026-05-01T06:49:32Z,2026-05-01T07:07:32Z
FB-2016,1,1,Support ticket,Enterprise admins using SSO,"Pilot admins reported setup failures after the identity callback completes, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 3,In progress,85,High,No,Identity Engineering,Support -> Identity Engineering active workstream,2026-05-15T07:58:48Z,2026-05-15T09:58:48Z
FB-2017,1,1,Partner escalation,Workspace owners,"Enterprise admins using SSO flagged setup failures after the identity callback completes, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 3,Routed,82,Medium,No,Identity Engineering,Support -> Identity Engineering,2026-05-03T16:45:35Z,2026-05-03T18:45:35Z
FB-2018,1,1,Partner escalation,Enterprise admins using SSO,"Security reviewers flagged blocked sign-in checks before connector authorization, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 4,New,96,High,No,Identity Engineering,Intake -> Identity Engineering triage,2026-05-19T12:52:29Z,2026-05-19T16:52:29Z
FB-2019,1,1,Internal triage,Workspace owners,"The admin flow stopped after sign-in, but the team could not tell whether the issue was SSO configuration or connector setup.",Authentication / SSO,Authentication setup,Sev 3,New,67,Low,Review recommended,Identity Engineering,Intake -> Identity Engineering triage,2026-05-01T18:47:06Z,2026-05-01T19:05:06Z
FB-2020,1,1,Launch office hours,Workspace owners,"Pilot admins keep encountering setup failures after the identity callback completes, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 2,Routed,81,Medium,No,Identity Engineering,Support -> Identity Engineering,2026-05-12T07:18:14Z,2026-05-12T11:18:14Z
FB-2021,1,1,Partner escalation,Workspace owners,"Enterprise admins using SSO are seeing setup failures after the identity callback completes, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 2,Needs review,73,Low,Review recommended,Product Ops,Intake -> Product Ops review before final routing,2026-05-14T15:03:55Z,2026-05-14T15:33:55Z
FB-2022,1,1,Support ticket,Enterprise admins,"The admin flow stopped after sign-in, but the team could not tell whether the issue was SSO configuration or connector setup.",Authentication / SSO,Authentication setup,Sev 2,Routed,76,Medium,Review recommended,Identity Engineering,Support -> Identity Engineering,2026-05-14T06:02:49Z,2026-05-14T06:32:49Z
FB-2023,1,1,Support ticket,Enterprise admins using SSO,"Workspace owners are seeing tenant metadata errors during connector setup, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 3,Routed,96,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-08T07:31:15Z,2026-05-08T07:49:15Z
FB-2024,1,1,Admin interview,Enterprise admins using SSO,"Security reviewers are seeing setup failures after the identity callback completes, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 4,Resolved,92,High,No,Identity Engineering,Resolved by Identity Engineering,2026-05-18T02:52:39Z,2026-05-18T02:52:39Z
FB-2025,1,1,Support ticket,Security reviewers,"The admin flow stopped after sign-in, but the team could not tell whether the issue was SSO configuration or connector setup.",Authentication / SSO,Authentication setup,Sev 4,Routed,67,Low,Review recommended,Identity Engineering,Support -> Identity Engineering,2026-05-04T18:53:34Z,2026-05-04T19:23:34Z
FB-2026,1,1,Support ticket,Enterprise admins using SSO,"Enterprise admins using SSO flagged blocked sign-in checks before connector authorization, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 3,Resolved,78,Medium,Review recommended,Identity Engineering,Resolved by Identity Engineering,2026-05-04T13:27:26Z,2026-05-04T15:27:26Z
FB-2027,1,1,Support ticket,Workspace owners,"Pilot admins are seeing setup failures after the identity callback completes, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 2,In progress,86,High,No,Identity Engineering,Support -> Identity Engineering active workstream,2026-05-11T20:35:13Z,2026-05-11T20:53:13Z
FB-2028,1,1,Launch office hours,Security reviewers,"Workspace owners flagged tenant metadata errors during connector setup, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 2,Needs review,68,Low,Review recommended,Identity Engineering,Triage -> Identity Engineering review,2026-05-14T16:40:57Z,2026-05-14T16:40:57Z
FB-2029,1,1,Partner escalation,Enterprise admins using SSO,"Workspace owners keep encountering tenant metadata errors during connector setup, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 3,Routed,96,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-07T02:16:32Z,2026-05-07T02:28:32Z
